disease,variant,drug,delta_z,exposed
ACC,symmetric_gene_rank,carboplatin,-0.03993503643000018,False
ACC,symmetric_gene_rank,carfilzomib,-0.18753403921,False
ACC,symmetric_gene_rank,carmustine,0.000860591321000026,False
ACC,symmetric_gene_rank,celecoxib,-0.04283394187599998,False
ACC,symmetric_gene_rank,ceritinib,-0.5786934598500002,False
ACC,symmetric_gene_rank,chlorambucil,0.19527983047200004,False
ACC,symmetric_gene_rank,cisplatin,-0.039695284330000025,False
ACC,symmetric_gene_rank,cladribine,0.04032212704799998,False
ACC,symmetric_gene_rank,clofarabine,-0.048197537349999875,False
ACC,symmetric_gene_rank,cobimetinib,-0.2275676795259,False
ACC,symmetric_gene_rank,crizotinib,0.23117239654700006,False
ACC,symmetric_gene_rank,cyclophosphamide,0.03104611016000014,False
ACC,symmetric_gene_rank,cytarabine,0.02183493125699998,False
ACC,symmetric_gene_rank,dabrafenib,-0.16438945358200008,False
ACC,symmetric_gene_rank,dacarbazine,0.39141664948,False
ACC,symmetric_gene_rank,dacomitinib,0.07989750126299999,False
ACC,symmetric_gene_rank,darolutamide,0.098407223313,False
ACC,symmetric_gene_rank,dasatinib,-0.2901941189199999,False
ACC,symmetric_gene_rank,daunorubicin,-0.11215142433600003,False
ACC,symmetric_gene_rank,decitabine,-0.14378233948200003,False
ACC,symmetric_gene_rank,dexrazoxane,0.059372802861999974,False
ACC,symmetric_gene_rank,docetaxel,-0.052058604980000034,False
ACC,symmetric_gene_rank,doxorubicin,-0.232242962246,False
ACC,symmetric_gene_rank,duvelisib,-0.25146789818000004,False
ACC,symmetric_gene_rank,encorafenib,-0.06041836401,False
ACC,symmetric_gene_rank,epirubicin,-0.026441325624000034,False
ACC,symmetric_gene_rank,erdafitinib,0.0012354604139999115,False
ACC,symmetric_gene_rank,erlotinib,-0.06861540275399997,False
ACC,symmetric_gene_rank,estramustine,-0.105000804211,False
ACC,symmetric_gene_rank,etoposide,-0.09060227853499997,False
ACC,symmetric_gene_rank,everolimus,-0.208573070483,False
ACC,symmetric_gene_rank,fludarabine,0.04351952923999991,False
ACC,symmetric_gene_rank,fluorouracil,-0.03161052802999986,False
ACC,symmetric_gene_rank,fruquintinib,-0.257411309425,False
ACC,symmetric_gene_rank,fulvestrant,-0.08205768547999992,False
ACC,symmetric_gene_rank,gemcitabine,-0.0038137818199999174,False
ACC,symmetric_gene_rank,gilteritinib,-0.08642180322600002,False
ACC,symmetric_gene_rank,homoharringtonine,-0.087018107525,False
ACC,symmetric_gene_rank,hydroxyurea,-0.002116872852999996,False
ACC,symmetric_gene_rank,ibrutinib,-0.25830001904,False
ACC,symmetric_gene_rank,idarubicin,0.53593019297,False
ACC,symmetric_gene_rank,idelalisib,-0.072731050367,False
ACC,symmetric_gene_rank,imatinib,-0.26954609295999976,False
ACC,symmetric_gene_rank,irinotecan,0.048505130532999985,False
ACC,symmetric_gene_rank,ixabepilone,-0.014802233444000001,False
ACC,symmetric_gene_rank,ixazomib,-0.011147620100000033,False
ACC,symmetric_gene_rank,lapatinib,-0.09422060981630001,False
ACC,symmetric_gene_rank,lenvatinib,-0.14396416802400003,False
ACC,symmetric_gene_rank,lomustine,0.24606014347600014,False
ACC,symmetric_gene_rank,lorlatinib,-0.06226685835000001,False
ACC,symmetric_gene_rank,melphalan,0.10110751026999987,False
ACC,symmetric_gene_rank,mercaptopurine,0.028821115778000006,False
ACC,symmetric_gene_rank,methotrexate,0.08551567843500008,False
ACC,symmetric_gene_rank,mitomycin,0.06431261301900004,False
ACC,symmetric_gene_rank,mitotane,-0.08900644613999997,False
ACC,symmetric_gene_rank,mitoxantrone,0.08751730819000025,False
ACC,symmetric_gene_rank,neratinib,0.067868856822,False
ACC,symmetric_gene_rank,nilotinib,0.09470239502000011,False
ACC,symmetric_gene_rank,olaparib,0.08526987493799998,False
ACC,symmetric_gene_rank,osimertinib,-0.026588634638999964,False
ACC,symmetric_gene_rank,oxaliplatin,-0.06726091577599999,False
ACC,symmetric_gene_rank,paclitaxel,-0.07162615325999999,False
ACC,symmetric_gene_rank,palbociclib,0.13610157583999993,True
ACC,symmetric_gene_rank,panobinostat,-0.0034850874500000906,False
ACC,symmetric_gene_rank,pemetrexed,-0.04627336644999991,False
ACC,symmetric_gene_rank,pralatrexate,0.02198054745000011,False
ACC,symmetric_gene_rank,raloxifene,-0.07013650197669999,False
ACC,symmetric_gene_rank,ribociclib,-0.10645232084799994,False
ACC,symmetric_gene_rank,romidepsin,-0.1215468774299997,False
ACC,symmetric_gene_rank,selinexor,-0.01840477999400003,False
ACC,symmetric_gene_rank,selumetinib,-0.28934655090999994,False
ACC,symmetric_gene_rank,sirolimus,-0.009026213557599999,False
ACC,symmetric_gene_rank,sonidegib,0.15867770732999986,False
ACC,symmetric_gene_rank,sunitinib,-0.25766502750700004,False
ACC,symmetric_gene_rank,tamoxifen,-0.12661591124100008,False
ACC,symmetric_gene_rank,temsirolimus,-0.0891628926373,False
ACC,symmetric_gene_rank,teniposide,-0.093230432252,False
ACC,symmetric_gene_rank,thiotepa,0.6284618885100002,False
ACC,symmetric_gene_rank,tioguanine,0.19643433106000008,False
ACC,symmetric_gene_rank,tivozanib,-0.014916630885000004,False
ACC,symmetric_gene_rank,topotecan,0.018180567759999988,False
ACC,symmetric_gene_rank,trametinib,-0.20350759321500006,False
ACC,symmetric_gene_rank,trifluridine,-0.13540835181900002,False
ACC,symmetric_gene_rank,tucatinib,-0.17395676179999997,False
ACC,symmetric_gene_rank,umbralisib,-0.12146534371999973,False
ACC,symmetric_gene_rank,valrubicin,0.014281674639999853,False
ACC,symmetric_gene_rank,vandetanib,0.017183077744999997,False
ACC,symmetric_gene_rank,vemurafenib,-0.14817808710699998,False
ACC,symmetric_gene_rank,venetoclax,-0.18181263300000028,False
ACC,symmetric_gene_rank,vinblastine,-0.095164425923,False
ACC,symmetric_gene_rank,vinorelbine,-0.15710361180599997,False
ACC,symmetric_gene_rank,vorinostat,0.20622203504500003,False
ACC,symmetric_gene_rank,zoledronate,0.017725663350000004,False
Breast,column_minmax,abemaciclib,1.9606691724933,True
Breast,column_minmax,abiraterone,-0.008493004498000056,False
