draw,spearman_vs_locked_ADRS_rank,top20_jaccard_vs_locked,spearman_vs_uniform_ADRS_rank,top20_jaccard_vs_uniform,mean_absolute_rank_change_vs_locked,maximum_absolute_rank_change_vs_locked,Abemaciclib_rank,Palbociclib_rank,Ribociclib_rank
744,0.991463983919,0.904761904762,0.994607829127,0.904761904762,2.37037037037,27,11,36,48
745,0.971238579744,0.739130434783,0.984995284232,0.739130434783,4.24074074074,34,16,60,47
746,0.987624682043,0.818181818182,0.989691998438,0.739130434783,3.07407407407,27,14,53,47
747,0.981565634914,0.818181818182,0.990520830356,0.818181818182,3.5,30,11,53,50
748,0.993245496204,0.904761904762,0.993188335382,0.904761904762,2.33333333333,15,9,28,48
749,0.977240466051,0.818181818182,0.987310297522,0.818181818182,3.66666666667,35,13,61,51
750,0.987348404737,0.904761904762,0.992264235426,0.904761904762,2.2962962963,31,13,50,47
751,0.984395095601,0.818181818182,0.991749788029,0.904761904762,3.11111111111,35,11,32,48
752,0.993940952871,0.904761904762,0.990015909762,0.818181818182,1.94444444444,24,13,50,47
753,0.986662474873,0.904761904762,0.990549410767,0.904761904762,2.74074074074,31,14,57,48
754,0.977545323768,0.739130434783,0.986538626425,0.818181818182,3.81481481481,31,11,50,49
755,0.986052759439,0.904761904762,0.989634837616,0.904761904762,3.11111111111,26,7,28,50
756,0.984576104871,0.818181818182,0.99013975821,0.818181818182,3.46296296296,26,9,30,51
757,0.989892061315,0.904761904762,0.992616727162,0.818181818182,2.66666666667,24,12,40,51
758,0.989377613917,0.904761904762,0.991397296293,0.904761904762,2.7962962963,20,10,29,49
759,0.988615469624,0.818181818182,0.994074328122,0.904761904762,3.24074074074,18,8,33,49
760,0.974954033172,0.666666666667,0.985052445054,0.739130434783,4.55555555556,31,9,30,48
761,0.992473825107,0.739130434783,0.994131488944,0.818181818182,2.62962962963,15,9,26,46
762,0.988339192318,0.818181818182,0.991606885974,0.818181818182,2.66666666667,25,13,51,48
763,0.985185820305,0.818181818182,0.990396981909,0.818181818182,3.25925925926,26,8,40,50
764,0.98714834186,0.818181818182,0.991997484924,0.904761904762,2.7962962963,26,13,48,50
765,0.982470681262,0.739130434783,0.993788524012,0.818181818182,3.75925925926,27,7,30,50
766,0.982365886421,0.904761904762,0.991616412777,0.818181818182,3.31481481481,30,14,56,49
767,0.97721188564,0.666666666667,0.988339192318,0.739130434783,4.35185185185,29,7,28,51
768,0.971095677689,0.904761904762,0.985395409986,0.904761904762,4.11111111111,31,13,54,49
769,0.983166137929,0.739130434783,0.98704354702,0.818181818182,3.64814814815,24,12,50,47
770,0.983023235874,0.739130434783,0.990092124191,0.739130434783,3.83333333333,23,7,29,50
771,0.981956233864,0.739130434783,0.990701839626,0.818181818182,3.7037037037,30,11,38,52
772,0.978907656692,0.904761904762,0.992197547801,0.904761904762,3.5,32,11,35,48
773,0.98743414597,0.904761904762,0.991092438576,0.818181818182,2.64814814815,33,7,28,48
774,0.981784751398,0.666666666667,0.989806320082,0.739130434783,3.87037037037,30,10,35,51
775,0.980231882401,0.739130434783,0.99216896739,0.818181818182,3.90740740741,30,8,25,49
776,0.994169596159,0.904761904762,0.992645307573,0.904761904762,2.14814814815,12,13,34,48
777,0.981022607105,0.904761904762,0.9880343346,0.818181818182,3.12962962963,33,13,58,50
778,0.971895929197,0.818181818182,0.987014966609,0.904761904762,4.66666666667,32,13,57,52
779,0.979974658702,0.739130434783,0.993416978669,0.818181818182,3.72222222222,26,13,49,48
780,0.983470995646,0.739130434783,0.986891118161,0.818181818182,3.25925925926,26,8,29,50
781,0.981384625644,0.904761904762,0.990959063325,0.818181818182,3.2962962963,32,16,58,48
782,0.97401087961,0.739130434783,0.988796478893,0.739130434783,4.16666666667,31,11,53,50
783,0.985309668753,0.739130434783,0.992064172549,0.818181818182,3.33333333333,25,14,51,46
784,0.979965131899,0.904761904762,0.990044490173,0.818181818182,3.16666666667,33,18,59,46
785,0.982842226605,0.818181818182,0.992388083874,0.904761904762,3.38888888889,27,11,53,49
786,0.983204245144,0.904761904762,0.987491306792,0.818181818182,3.2037037037,26,10,41,49
787,0.982175350348,0.904761904762,0.987491306792,0.818181818182,3.33333333333,28,7,29,50
788,0.991978431317,0.904761904762,0.991463983919,0.818181818182,2.03703703704,19,10,35,48
789,0.983432888432,0.818181818182,0.988339192318,0.818181818182,3.12962962963,31,9,27,49
790,0.983080396696,1,0.984747587337,0.904761904762,3.16666666667,26,13,51,49
791,0.982727904961,0.904761904762,0.991568778759,0.904761904762,3.2962962963,35,17,61,49
792,0.975687597054,0.818181818182,0.987710423276,0.818181818182,4,32,8,30,51
